batch_size,heun_steps,t_ect_2step_ms,t_heun_ms,diff_ms,N_star
1,5.0,13.9652,62.2107,48.24550000000001,18654.589547211654
1,10.0,13.9652,131.7489,117.7837,7641.1252151189
1,18.0,13.9652,243.786,229.8208,3916.094626770075
1,25.0,13.9652,331.6572,317.692,2832.93252584264
1,50.0,13.9652,673.5036,659.5384,1364.5907501367624
64,5.0,1.1538,5.1639,4.0100999999999996,224433.30590259598
64,10.0,1.1538,10.898,9.7442,92362.63623488846
64,18.0,1.1538,20.0468,18.893,47636.690837876464
64,25.0,1.1538,28.0732,26.9194,33433.137439913226
64,50.0,1.1538,56.7224,55.5686,16196.19713291319